,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
0,David Aebischer,25,COL,62,,32,19,9,129,1703,1574,.924,2.09,4,13.1,3703,,,,85,22.66,0,1,1,4
1,Craig Anderson,22,CHI,21,,6,14,0,57,602,545,.905,2.84,1,3.3,1205,,,,106,-3.39,0,0,0,4
2,Jean-Sebastien Aubin,26,PIT,22,,7,9,0,53,574,521,.908,2.98,1,3.3,1067,,,,104,-1.88,0,0,0,2
3,Alex Auld,23,VAN,6,,2,2,2,12,168,156,.929,2.06,0,1.4,349,,,,,,0,0,0,0
4,Ed Belfour,38,TOR,59,,34,19,6,122,1483,1361,.918,2.13,10,10.3,3444,,,,92,10.07,0,2,2,16
5,Zac Bierk,27,PHX,4,,0,1,2,12,108,96,.889,3.79,0,0.4,190,,,,,,0,0,0,2
6,Martin Biron,26,BUF,52,,26,18,5,125,1442,1317,.913,2.52,2,9.2,2972,,,,97,3.42,0,2,2,10
7,Brian Boucher,27,PHX,40,,10,19,10,108,1150,1042,.906,2.75,5,6.4,2364,,,,105,-5.58,0,0,0,2
8,Fred Brathwaite,31,CBJ,21,,4,11,1,59,574,515,.897,3.37,0,2.6,1050,,,,115,-7.88,0,0,0,2
9,Martin Brochu,30,PIT,1,,0,0,0,1,19,18,.947,1.84,0,0.2,33,,,,,,0,0,0,0
10,Martin Brodeur,31,NJD,75,,38,26,11,154,1845,1691,.917,2.03,11,12.5,4555,,,,94,10.31,0,0,0,4
11,Ilya Bryzgalov,23,MDA,1,,1,0,0,2,28,26,.929,1.98,0,0.2,60,,,,,,0,0,0,0
12,Sean Burke,37,TOT,47,,16,20,7,119,1302,1183,.909,2.72,2,7.6,2620,,,,103,-3.05,0,2,2,8
13,Sean Burke,37,PHX,32,,10,15,5,84,913,829,.908,2.81,1,5.3,1795,,,,103,-2.69,0,2,2,8
14,Sean Burke,37,PHI,15,,6,5,2,35,389,354,.910,2.55,1,2.3,825,,,,101,-0.36,0,0,0,0
15,Sebastien Caron,23,PIT,40,,9,24,5,138,1179,1041,.883,3.74,1,3.3,2213,,,,131,-33.00,0,0,0,6
16,Roman Cechmanek,32,LAK,49,,18,21,6,113,1198,1085,.906,2.51,5,6.6,2701,,,,106,-6.31,0,0,0,2
17,Sebastien Charpentier,26,WSH,7,,0,6,0,21,168,147,.875,3.41,0,0.3,369,,,,,,0,0,0,0
18,Andy Chiodo,20,PIT,8,,3,4,1,28,260,232,.892,3.46,0,1.0,486,,,,,,0,0,0,0
19,Mathieu Chouinard,23,LAK,1,,0,0,0,0,2,2,1.000,0.00,0,0.0,3,,,,,,0,0,0,0
20,Scott Clemmensen,26,NJD,4,,3,1,0,4,84,80,.952,1.01,2,0.9,238,,,,,,0,0,0,0
21,Dan Cloutier,27,VAN,60,,33,21,6,134,1554,1420,.914,2.27,5,10.0,3539,,,,97,4.39,0,1,1,22
22,Ty Conklin,27,EDM,38,,17,14,4,84,959,875,.912,2.42,1,6.0,2086,,,,98,1.41,0,0,0,17
23,Byron Dafoe,32,ATL,18,,4,11,1,51,499,448,.898,3.15,0,2.3,973,,,,115,-6.56,0,0,0,2
