,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
0,Ramzi Abid,22,LW,TOT,33,10,8,18,-4,32,6,4,0,3,6,2,0,59,16.9,428,12:58,2.1
1,Ramzi Abid,22,LW,PHX,30,10,8,18,1,30,6,4,0,3,6,2,0,52,19.2,375,12:30,2.3
2,Ramzi Abid,22,LW,PIT,3,0,0,0,-5,2,0,0,0,0,0,0,0,7,0.0,53,17:33,-0.3
3,Craig Adams,25,RW,CAR,81,6,12,18,-11,71,5,1,0,1,11,1,0,107,5.6,988,12:12,0.7
4,Kevyn Adams,28,C,CAR,77,9,9,18,-8,57,9,0,0,0,6,2,1,169,5.3,1128,14:39,1.0
5,Maxim Afinogenov,23,RW,BUF,35,5,6,11,-12,21,3,2,0,2,6,0,0,77,6.5,469,13:24,0.5
6,Tommy Albelin,38,D,NJD,37,1,6,7,10,6,0,0,1,0,5,1,0,30,3.3,563,15:13,2.5
7,Nikita Alexeev,21,RW,TBL,37,4,2,6,-6,8,3,1,0,1,1,1,0,52,7.7,426,11:31,0.1
8,Daniel Alfredsson,30,RW,OTT,78,27,51,78,15,42,18,9,0,6,27,24,0,240,11.3,1524,19:32,9.2
9,Bobby Allen,24,D,EDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2:53,0.0
10,Bryan Allen,22,D,VAN,48,5,3,8,8,73,5,0,0,1,2,1,0,43,11.6,621,12:56,2.5
11,Jamie Allison,27,D,CBJ,48,0,1,1,-15,99,0,0,0,0,1,0,0,23,0.0,574,11:57,-0.4
12,Jason Allison,27,C,LAK,26,6,22,28,9,22,4,2,0,3,12,10,0,46,13.0,562,21:36,3.1
13,Tony Amonte,32,RW,TOT,72,20,31,51,0,28,12,7,1,5,11,20,0,207,9.7,1377,19:08,5.2
14,Tony Amonte,32,RW,PHX,59,13,23,36,-12,26,7,6,0,3,9,14,0,170,7.6,1148,19:27,2.7
15,Tony Amonte,32,RW,PHI,13,7,8,15,12,2,5,1,1,2,2,6,0,37,18.9,229,17:39,2.6
16,Dave Andreychuk,39,LW,TBL,72,20,14,34,-12,34,5,15,0,3,1,13,0,170,11.8,1184,16:27,3.3
17,Nik Antropov,22,RW,TOR,72,16,29,45,11,124,13,2,1,6,18,11,0,102,15.7,1080,15:00,5.0
18,Denis Arkhipov,23,C,NSH,79,11,24,35,-18,32,8,3,0,1,13,11,0,148,7.4,1196,15:09,2.6
19,Derek Armstrong,29,C,LAK,66,12,26,38,5,30,10,2,0,1,18,8,0,106,11.3,1034,15:40,3.9
20,Tyler Arnason,23,C,CHI,82,19,20,39,7,20,16,3,0,6,15,5,0,178,10.7,1190,14:30,4.4
21,Jason Arnott,28,C,DAL,72,23,24,47,9,51,16,7,0,6,18,6,0,169,13.6,1166,16:12,5.9
22,Magnus Arvedson,31,LW,OTT,80,16,21,37,13,48,14,2,0,4,16,5,0,138,11.6,1433,17:54,3.7
23,Arron Asham,24,RW,NYI,78,15,19,34,1,57,11,4,0,1,17,1,1,114,13.2,953,12:13,3.6
24,Serge Aubin,27,C,COL,66,4,6,10,-2,64,4,0,0,1,5,0,1,62,6.5,789,11:58,-0.1
25,Adrian Aucoin,29,D,NYI,73,8,27,35,-5,70,3,5,0,1,11,15,1,175,4.6,2118,29:01,6.0
26,Donald Audette,33,RW,MTL,54,11,12,23,-7,19,7,4,0,4,4,8,0,118,9.3,837,15:30,1.9
27,Jared Aulin,20,C,LAK,17,2,2,4,-3,0,1,1,0,0,0,2,0,21,9.5,169,9:55,0.3
28,Sean Avery,22,C,TOT,51,6,9,15,7,153,6,0,0,2,6,3,0,59,10.2,441,8:39,1.7
29,Sean Avery,22,C,DET,39,5,6,11,7,120,5,0,0,2,5,1,0,40,12.5,275,7:03,1.5
30,Sean Avery,22,C,LAK,12,1,3,4,0,33,1,0,0,0,1,2,0,19,5.3,166,13:50,0.3
31,P.J. Axelsson,27,LW,BOS,66,17,19,36,8,24,13,2,2,1,15,2,2,122,13.9,1097,16:37,4.0
32,Christian Backman,22,D,STL,4,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,49,12:22,-0.2
33,Frank Banham,27,RW,PHX,5,0,0,0,-1,2,0,0,0,0,0,0,0,5,0.0,39,7:52,-0.1
