,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,PS
0,Justin Abdelkader,27,LW,DET,71,23,21,44,3,72,15,8,0,5,15,6,0,154,14.9,1272,17:55,28,153,7,8,46.7,5.6
1,Will Acton,27,C,EDM,3,0,0,0,-2,5,0,0,0,0,0,0,0,2,0.0,32,10:43,3,3,4,4,50.0,-0.1
2,Luke Adam,24,C,CBJ,3,0,0,0,0,4,0,0,0,0,0,0,0,0,,19,6:27,0,2,0,0,,0.0
3,Craig Adams,37,RW,PIT,70,1,6,7,-1,44,1,0,0,1,5,0,1,51,2.0,682,9:45,29,183,17,23,42.5,-0.3
4,Andrew Agozzino,24,LW,COL,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,9:45,0,1,0,2,0.0,0.1
5,Jason Akeson,24,RW,PHI,13,0,0,0,-1,8,0,0,0,0,0,0,0,9,0.0,105,8:03,4,11,1,1,50.0,-0.2
6,Bryan Allen,34,D,TOT,11,0,2,2,-2,6,0,0,0,0,2,0,0,6,0.0,173,15:43,15,20,0,0,,0.2
7,Bryan Allen,34,D,ANA,6,0,1,1,0,4,0,0,0,0,1,0,0,4,0.0,109,18:13,10,11,0,0,,0.2
8,Bryan Allen,34,D,MTL,5,0,1,1,-2,2,0,0,0,0,1,0,0,2,0.0,64,12:44,5,9,0,0,,0.0
9,Conor Allen,25,D,NYR,4,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,49,12:12,0,6,0,0,,-0.1
10,Mark Alt,23,D,PHI,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:25,0,1,0,0,,-0.1
11,Karl Alzner,26,D,WSH,82,5,16,21,14,20,5,0,0,0,16,0,0,72,6.9,1593,19:26,165,120,0,0,,5.4
12,Josh Anderson,20,RW,CBJ,6,0,1,1,-1,2,0,0,0,0,1,0,0,10,0.0,81,13:27,2,24,0,0,,-0.1
13,Joakim Andersson,25,C,DET,68,3,5,8,-4,22,3,0,0,1,5,0,0,74,4.1,791,11:38,24,27,192,183,51.2,-0.3
14,Andy Andreoff,23,C,LAK,18,2,1,3,1,18,2,0,0,1,1,0,0,14,14.3,154,8:34,0,33,32,29,52.5,0.4
