,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
0,Antti Aalto,24,C,MDA,63,7,11,18,-13,26,6,1,0,1,11,0,0,102,6.9,830,13:11,0.7
1,Bryan Adams,22,LW,ATL,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,10:57,-0.1
2,Greg Adams,36,LW,PHX,69,19,27,46,-1,14,14,5,0,0,20,7,0,129,14.7,1171,16:58,4.5
3,Kevyn Adams,25,C,TOR,52,5,8,13,-7,39,5,0,0,0,7,0,1,70,7.1,644,12:23,0.4
4,Maxim Afinogenov,20,RW,BUF,65,16,18,34,-4,41,14,2,0,2,12,6,0,128,12.5,854,13:09,3.7
5,Johnathan Aitken,21,D,BOS,3,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,57,18:57,-0.2
6,Mika Alatalo,28,LW,PHX,82,10,17,27,-3,36,9,1,0,1,17,0,0,107,9.3,1035,12:37,1.8
7,Tommy Albelin,35,D,CGY,41,4,6,10,-3,12,2,1,1,1,4,1,1,37,10.8,885,21:35,2.1
8,Keith Aldridge,26,D,DAL,4,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,44,11:05,0.2
9,Daniel Alfredsson,27,RW,OTT,57,21,38,59,11,28,15,4,2,0,27,9,2,164,12.8,1069,18:45,7.1
10,Jamie Allison,24,D,CHI,59,1,3,4,-5,102,1,0,0,0,3,0,0,24,4.2,840,14:14,0.7
11,Jason Allison,24,C,BOS,37,10,18,28,5,20,7,3,0,1,9,9,0,66,15.2,797,21:33,2.9
12,Tony Amonte,29,RW,CHI,82,43,41,84,10,48,27,11,5,2,32,8,1,260,16.5,1795,21:54,10.3
13,Mikael Andersson,33,LW,TOT,55,2,6,8,-3,4,1,0,1,0,5,0,1,57,3.5,559,10:10,0.1
14,Mikael Andersson,33,LW,PHI,36,2,3,5,-2,0,1,0,1,0,3,0,0,38,5.3,377,10:29,0.1
15,Mikael Andersson,33,LW,NYI,19,0,3,3,-1,4,0,0,0,0,2,0,1,19,0.0,182,9:33,0.0
16,Niklas Andersson,28,LW,TOT,24,3,8,11,-3,8,2,1,0,0,4,3,1,31,9.7,316,13:11,0.8
