,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
0,Justin Abdelkader,24,DET,LW,81,794,698,53.2,-3.2,589,524,52.9,-3.7,7.4,93.1,100.5,59.3,40.7,12:19,10:46,16,14,196,61.7
1,Luke Adam,21,BUF,LW,52,488,495,49.6,1.8,362,400,47.5,-0.2,7.4,92.2,99.6,57.5,42.5,12:24,10:46,24,16,167,53.3
2,Craig Adams,34,PIT,RW,82,530,545,49.3,-6.6,402,403,49.9,-6.4,7.8,89.3,97.1,43.8,56.2,11:17,8:24,13,7,130,58.5
3,Andrew Alberts,30,VAN,D,44,453,521,46.5,-7.7,313,389,44.6,-8.2,9.5,93.9,103.4,39.4,60.6,14:18,13:04,13,16,61,31.1
4,Daniel Alfredsson,39,OTT,RW,75,1182,922,56.2,4.3,832,724,53.5,2.3,9.0,92.4,101.4,58.0,42.0,18:57,14:41,50,58,337,56.7
5,Akim Aliu,22,CGY,RW,2,17,18,48.6,0.4,12,17,41.4,-4.6,27.3,100.0,127.3,36.4,63.6,11:02,10:41,0,1,4,75.0
6,Bryan Allen,31,CAR,D,82,1192,1336,47.2,-1.9,848,960,46.9,-1.6,7.9,91.9,99.9,40.0,60.0,19:10,16:26,22,36,210,41.4
7,Cody Almond,22,MIN,C,10,63,113,35.8,-7.3,44,83,34.6,-9.1,3.6,88.2,91.8,48.0,52.0,10:13,9:06,3,2,13,53.8
8,Karl Alzner,23,WSH,D,82,1190,1417,45.6,-4.5,871,998,46.6,-3.5,9.5,92.9,102.5,41.2,58.8,20:52,17:59,18,48,146,38.4
9,Joakim Andersson,22,DET,C,5,27,22,55.1,3.3,23,18,56.1,4.9,7.1,100.0,107.1,73.3,26.7,6:40,6:40,0,0,3,100.0
10,Mike Angelidis,26,TBL,C,6,30,28,51.7,8.6,24,18,57.1,11.4,6.3,83.3,89.6,33.3,66.7,6:30,6:30,3,1,11,72.7
11,Artem Anisimov,23,NYR,C,79,865,911,48.7,-1.4,668,637,51.2,-0.1,8.9,93.2,102.1,52.2,47.8,15:24,12:44,37,14,254,52.0
12,Nik Antropov,31,WPG,C,69,830,798,51.0,-0.4,616,585,51.3,-0.9,8.9,90.3,99.2,57.0,43.0,16:31,12:36,25,23,177,53.7
13,Colby Armstrong,29,TOR,RW,29,191,239,44.4,-3.2,126,167,43.0,-3.7,4.4,89.4,93.8,50.4,49.6,9:19,8:58,6,7,26,53.8
14,Jason Arnott,37,STL,C,72,836,693,54.7,-1.3,627,502,55.5,-2.0,8.0,94.1,102.1,60.9,39.1,14:05,11:39,17,11,231,61.5
15,Arron Asham,33,PIT,RW,64,479,491,49.4,-5.1,358,377,48.7,-6.9,9.6,89.7,99.3,49.4,50.6,9:14,9:11,13,3,92,53.3
16,Carter Ashton,20,TOR,RW,15,116,137,45.8,-3.7,80,110,42.1,-3.6,0.0,87.0,87.0,54.0,46.0,10:25,10:22,4,4,32,68.8
17,Cam Atkinson,22,CBJ,RW,27,313,320,49.4,2.1,251,234,51.8,6.2,11.6,88.2,99.9,47.2,52.8,15:23,12:32,15,9,108,61.1
18,Adrian Aucoin,38,PHX,D,64,1051,990,51.5,1.9,780,793,49.6,0.0,8.7,94.1,102.8,47.8,52.2,20:15,17:34,26,17,201,45.8
19,Keith Aucoin,33,WSH,C,27,268,224,54.5,6.4,194,158,55.1,5.9,10.9,93.2,104.2,51.2,48.8,11:02,9:41,12,7,43,48.8
20,Keith Aulie,22,TOT,D,36,356,481,42.5,-4.5,268,351,43.3,-4.0,8.6,90.5,99.0,44.7,55.3,13:26,12:30,4,18,39,46.2
21,Sean Avery,31,NYR,C,15,86,85,50.3,4.6,63,67,48.5,0.8,9.1,96.1,105.2,57.1,42.9,7:01,6:60,4,3,31,48.4
22,Anton Babchuk,27,CGY,D,32,325,361,47.4,-0.5,223,254,46.8,-0.2,9.3,93.4,102.7,51.1,48.9,14:29,11:59,9,12,124,38.7
23,David Backes,27,STL,RW,82,1301,1075,54.8,-0.7,985,775,56.0,-0.8,7.3,93.6,100.9,45.7,54.3,19:60,15:44,50,22,397,58.9
24,Mikael Backlund,22,CGY,C,41,496,480,50.8,3.1,365,358,50.5,3.5,5.2,89.7,94.9,43.6,56.4,15:23,13:16,29,17,139,61.2
25,Nicklas Backstrom,24,WSH,C,42,603,569,51.5,2.8,458,425,51.9,3.2,9.7,90.0,99.8,52.7,47.3,19:10,14:49,28,18,161,59.0
26,Sven Baertschi,19,CGY,LW,5,29,45,39.2,-1.3,22,30,42.3,2.5,16.7,95.0,111.7,28.6,71.4,11:08,10:34,3,0,14,71.4
27,Josh Bailey,22,NYI,C,80,830,983,45.8,-3.7,608,705,46.3,-4.7,9.2,90.3,99.5,45.8,54.2,15:13,12:26,62,39,177,58.8
28,Keith Ballard,29,VAN,D,47,621,616,50.2,-6.6,450,460,49.5,-4.9,6.4,93.9,100.3,44.9,55.1,15:33,14:22,8,29,105,39.0
29,Krys Barch,31,TOT,RW,51,263,323,44.9,-4.4,201,238,45.8,-4.3,5.0,95.9,100.9,51.6,48.4,7:21,7:16,5,5,43,55.8
30,Cam Barker,25,EDM,D,25,310,403,43.5,-4.5,223,310,41.8,-9.3,10.2,93.2,103.4,47.2,52.8,18:22,15:40,2,18,80,43.8
31,Tyson Barrie,20,COL,D,10,172,142,54.8,5.0,137,101,57.6,8.5,4.6,91.1,95.8,71.3,28.8,17:39,16:28,4,5,32,46.9
