,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
0,Spencer Abbott,28,CHI,LW,1,11,7,61.1,-6.7,6,6,50.0,-17.2,0.0,100.0,100.0,100.0,0.0,8:34,8:34,1,0,0.1,2,50.0
1,Justin Abdelkader,29,DET,LW,64,685,790,46.4,-2.1,523,593,46.9,-1.4,5.3,91.1,96.4,46.3,53.7,16:39,13:07,15,18,-3.7,160,65.0
2,Pontus Aberg,23,NSH,LW,15,138,159,46.5,-6.2,104,117,47.1,-4.9,6.6,92.1,98.7,48.3,51.7,12:20,12:05,5,2,-1.2,24,50.0
3,Noel Acciari,25,BOS,C,29,230,246,48.3,-6.0,170,188,47.5,-7.7,7.8,95.8,103.6,40.9,59.1,10:14,10:01,10,4,0.5,43,55.8
4,Kenny Agostino,24,STL,LW,7,86,64,57.3,12.8,69,47,59.5,10.5,5.8,90.9,96.7,60.4,39.6,12:47,11:30,1,4,1.9,26,65.4
5,Sebastian Aho,19,CAR,RW,82,1126,990,53.2,2.7,842,774,52.1,2.4,7.6,91.2,98.8,54.7,45.3,16:47,14:15,40,57,5.1,362,59.1
6,Karl Alzner,28,WSH,D,82,1135,1318,46.3,-7.5,852,982,46.5,-6.7,10.3,93.9,104.2,45.9,54.1,19:48,16:42,17,52,-5.4,162,50.0
7,Josh Anderson,22,CBJ,RW,78,779,882,46.9,-4.1,590,657,47.3,-3.9,9.5,93.8,103.2,45.8,54.2,12:01,11:44,25,16,-0.1,193,61.7
8,Rasmus Andersson,20,CGY,D,1,15,15,50.0,-2.2,6,9,40.0,-10.0,0.0,80.0,80.0,60.0,40.0,18:33,16:40,0,0,0.2,1,0.0
9,Andy Andreoff,25,LAK,LW,36,358,304,54.1,-1.1,253,224,53.0,-2.3,4.0,93.8,97.8,58.5,41.5,10:36,10:21,5,10,0.5,81,46.9
10,Sven Andrighetto,23,TOT,RW,46,550,513,51.7,-2.1,398,372,51.7,-0.7,8.1,92.1,100.2,53.2,46.8,13:58,12:44,19,9,1.3,130,52.3
11,Artem Anisimov,28,CHI,C,64,856,865,49.7,-0.5,615,662,48.2,-1.6,11.9,92.0,103.9,65.1,34.9,17:51,14:38,35,16,-2.7,191,55.0
12,Josh Archibald,24,PIT,RW,10,87,106,45.1,-2.8,66,76,46.5,-0.9,11.1,94.3,105.5,50.0,50.0,10:52,10:20,0,2,-0.6,24,45.8
13,Joel Armia,23,WPG,RW,57,602,696,46.4,-4.6,456,532,46.2,-5.4,6.2,92.6,98.8,42.7,57.3,15:08,12:24,42,19,-2.0,195,56.9
14,Viktor Arvidsson,23,NSH,LW,80,1275,1042,55.0,5.5,975,816,54.4,5.2,9.6,91.0,100.6,55.8,44.2,17:09,14:02,37,26,2.7,411,59.6
15,Andreas Athanasiou,22,DET,C,64,640,690,48.1,-1.0,500,534,48.4,-0.5,9.0,90.9,99.9,62.1,37.9,13:28,11:43,17,19,-6.6,236,50.8
16,Cam Atkinson,27,CBJ,RW,82,1153,1210,48.8,-2.0,828,899,47.9,-3.4,8.9,93.3,102.2,45.3,54.7,18:05,13:59,36,21,-2.3,399,60.2
17,Brady Austin,23,BUF,D,5,78,67,53.8,3.6,66,55,54.5,2.8,5.7,93.0,98.7,62.3,37.7,16:05,15:29,1,2,0.7,10,80.0
18,Yohann Auvitu,27,NJD,D,25,293,283,50.9,7.0,227,230,49.7,5.5,6.8,94.1,100.9,66.3,33.7,15:36,13:31,7,13,0.1,87,62.1
19,David Backes,32,BOS,RW,74,1149,888,56.4,2.2,873,647,57.4,2.8,8.7,89.2,97.9,50.3,49.7,17:03,14:18,28,35,10.0,285,61.1
20,Mikael Backlund,27,CGY,C,81,1120,918,55.0,6.2,834,683,55.0,6.9,9.2,89.9,99.1,36.3,63.7,17:36,13:14,57,49,5.6,338,58.3
21,Nicklas Backstrom,29,WSH,C,82,1144,1118,50.6,-1.1,873,841,50.9,0.0,10.2,92.4,102.6,53.0,47.0,18:16,14:30,61,54,1.3,268,60.1
22,Sven Baertschi,24,VAN,LW,68,774,898,46.3,-2.7,585,680,46.2,-1.2,10.0,90.6,100.7,50.0,50.0,15:53,13:41,39,23,-4.0,185,61.6
23,Casey Bailey,25,OTT,RW,7,46,48,48.9,1.7,40,28,58.8,10.3,0.0,94.1,94.1,66.7,33.3,7:60,7:60,1,0,1.9,12,83.3
24,Josh Bailey,27,NYI,RW,82,1246,1212,50.7,4.4,912,877,51.0,4.5,10.5,90.1,100.6,62.1,37.9,18:22,15:10,54,61,0.7,304,56.9
25,Justin Bailey,21,BUF,RW,32,283,371,43.3,-3.5,213,276,43.6,-3.6,7.2,94.7,101.9,42.5,57.5,10:38,10:38,8,10,-3.7,75,48.0
26,Nicholas Baptiste,21,BUF,RW,14,95,118,44.6,-5.1,71,97,42.3,-6.9,10.0,94.7,104.7,54.1,45.9,9:14,8:38,1,1,-1.4,21,81.0
27,Ivan Barbashev,21,STL,C,30,271,292,48.1,-0.5,203,213,48.8,-0.9,9.7,94.8,104.5,44.0,56.0,11:47,10:52,9,3,2.4,41,48.8
28,Riley Barber,22,WSH,RW,3,17,27,38.6,-14.1,13,19,40.6,-8.8,0.0,100.0,100.0,64.7,35.3,8:35,8:35,0,0,0.3,3,66.7
29,Mark Barberio,26,TOT,D,60,917,835,52.3,0.9,663,645,50.7,0.3,6.9,92.2,99.1,54.4,45.6,18:16,15:54,16,33,-1.8,198,40.4
30,Aleksander Barkov,21,FLA,C,61,911,728,55.6,5.2,704,594,54.2,4.1,9.5,91.7,101.2,57.2,42.8,19:24,15:12,49,30,5.2,226,62.8
31,Tyson Barrie,25,COL,D,74,1330,1328,50.0,2.1,1003,1050,48.9,1.7,6.6,89.7,96.2,58.2,41.8,23:18,19:28,22,51,-9.3,404,44.6
32,Matt Bartkowski,28,CGY,D,24,285,343,45.4,-5.5,201,266,43.0,-8.5,8.7,91.7,100.4,49.5,50.5,15:23,14:55,3,13,-5.2,49,32.7
33,Mathew Barzal,19,NYI,C,2,11,28,28.2,-21.5,10,18,35.7,-14.3,0.0,85.7,85.7,66.7,33.3,9:45,9:14,0,0,-1.8,0,
34,Cody Bass,30,NSH,C,9,27,63,30.0,-21.6,21,42,33.3,-16.8,0.0,96.9,96.9,16.1,83.9,6:46,6:15,2,1,-1.8,3,33.3
35,Jay Beagle,31,WSH,RW,81,684,821,45.4,-7.4,512,619,45.3,-7.2,11.0,94.7,105.6,31.1,68.9,13:38,10:47,11,26,-2.4,158,63.3
36,Francois Beauchemin,36,COL,D,81,1273,1383,47.9,-1.7,948,1019,48.2,0.0,7.0,91.3,98.3,46.5,53.5,21:31,17:14,28,47,-12.0,279,47.3
37,Nathan Beaulieu,24,MTL,D,74,1221,1185,50.7,-2.6,871,854,50.5,-2.8,9.4,92.4,101.7,50.8,49.2,19:29,16:52,16,71,0.0,235,50.2
38,Anthony Beauvillier,19,NYI,LW,66,700,882,44.2,-4.2,527,647,44.9,-3.2,9.6,92.1,101.7,52.4,47.6,13:01,12:29,17,30,-9.3,170,59.4
39,Taylor Beck,25,TOT,LW,5,31,44,41.3,-4.5,18,32,36.0,-12.4,0.0,87.0,87.0,53.8,46.2,8:49,8:31,1,2,-1.4,11,45.5
40,Matt Beleskey,28,BOS,LW,49,522,453,53.5,-1.1,407,331,55.1,0.6,4.0,89.9,93.9,53.8,46.2,13:10,11:07,7,12,5.1,149,53.0
41,Pierre-Edouard Bellemare,31,PHI,LW,82,670,768,46.6,-5.6,467,525,47.1,-5.5,6.7,94.1,100.8,46.2,53.8,12:58,10:09,24,14,-3.9,172,52.3
42,Jamie Benn,27,DAL,LW,77,1127,1127,50.0,-0.4,831,824,50.2,-0.5,8.7,90.2,98.9,48.9,51.1,19:22,14:49,55,55,-6.5,359,56.0
43,Jordie Benn,29,TOT,D,71,1086,1085,50.0,-1.0,788,775,50.4,-0.8,7.2,92.3,99.5,46.1,53.9,18:17,14:56,14,49,-2.3,180,37.8
44,Beau Bennett,25,NJD,RW,65,727,635,53.4,7.2,556,493,53.0,6.5,5.9,93.2,99.1,46.1,53.9,13:43,11:54,19,16,1.1,185,54.6
45,Sam Bennett,20,CGY,C,81,854,905,48.6,-2.5,631,666,48.7,-1.7,6.6,90.4,97.0,56.1,43.9,14:59,12:33,43,25,-0.6,215,56.7
46,Matt Benning,22,EDM,D,62,893,815,52.3,2.0,681,612,52.7,1.0,9.2,91.7,101.0,56.7,43.3,16:37,15:28,7,49,3.8,152,45.4
47,Patrice Bergeron,31,BOS,C,79,1346,833,61.8,9.7,1025,627,62.0,9.6,7.8,89.5,97.3,54.7,45.3,19:20,14:11,65,23,20.3,480,62.9
48,Patrik Berglund,28,STL,C,82,983,938,51.2,1.8,736,704,51.1,1.2,8.0,90.7,98.6,41.5,58.5,15:59,13:19,43,23,2.4,275,55.6
49,Christoph Bertschy,22,MIN,C,5,25,35,41.7,-10.8,17,25,40.5,-10.3,6.7,95.0,101.7,69.6,30.4,8:08,8:08,0,0,0.2,5,100.0
50,Tyler Bertuzzi,21,DET,LW,7,38,54,41.3,-6.0,28,45,38.4,-9.3,5.0,93.1,98.1,55.6,44.4,9:06,9:03,1,3,-0.5,8,37.5
51,Bryan Bickell,30,CAR,LW,11,80,98,44.9,-6.5,59,76,43.7,-6.1,8.1,90.7,98.8,42.2,57.8,10:26,9:05,3,2,-2.3,20,40.0
52,Alex Biega,28,VAN,D,36,385,408,48.5,2.2,278,318,46.6,1.6,5.9,93.3,99.3,52.5,47.5,13:10,12:18,5,7,-5.2,79,46.8
53,Kevin Bieksa,35,ANA,D,81,1080,1310,45.2,-6.2,824,963,46.1,-5.4,8.8,92.4,101.2,49.6,50.4,18:45,16:04,13,54,-12.3,197,47.7
54,Anthony Bitetto,26,NSH,D,29,285,352,44.7,-6.8,210,267,44.0,-6.8,9.7,91.8,101.5,57.6,42.4,11:48,11:20,1,8,-4.4,45,37.8
55,Oliver Bjorkstrand,21,CBJ,RW,26,303,247,55.1,5.6,224,182,55.2,5.3,9.3,91.2,100.5,58.8,41.2,14:05,12:23,8,8,6.1,90,61.1
56,Nick Bjugstad,24,FLA,C,54,539,627,46.2,-5.7,419,506,45.3,-6.3,5.0,91.7,96.7,55.5,44.5,13:09,11:43,21,17,-9.6,154,59.1
57,Joseph Blandisi,22,NJD,LW,27,275,286,49.0,0.4,207,229,47.5,-1.2,5.1,90.5,95.7,45.6,54.4,13:22,11:40,7,4,-0.5,50,48.0
58,Anton Blidh,21,BOS,LW,19,165,125,56.9,-1.2,125,90,58.1,-0.3,3.4,91.8,95.3,59.6,40.4,8:47,8:19,4,4,5.3,47,55.3
59,Mike Blunden,30,OTT,RW,2,10,21,32.3,-18.7,8,15,34.8,-14.4,0.0,100.0,100.0,40.0,60.0,8:07,8:07,0,0,-0.5,1,100.0
60,Mikkel Boedker,27,SJS,LW,81,941,936,50.1,-1.4,692,668,50.9,-1.7,8.4,91.6,100.0,54.2,45.8,14:16,11:54,31,37,2.7,222,54.5
61,Brock Boeser,19,VAN,RW,9,119,105,53.1,4.4,90,83,52.0,5.1,8.7,90.3,99.0,62.4,37.6,16:13,14:27,1,4,0.8,38,65.8
62,Zach Bogosian,26,BUF,D,56,923,966,48.9,3.0,715,730,49.5,3.3,6.3,90.7,97.1,47.8,52.2,20:05,18:14,11,31,-4.0,135,54.1
63,Jared Boll,30,ANA,RW,51,182,281,39.3,-12.4,146,216,40.3,-11.5,6.4,94.5,100.9,56.0,44.0,5:49,5:46,2,5,-7.2,26,50.0
